cas number,iso-SMILES,canonical-SMILES
61985-28-2,C1CCC(CC1)C(=O)C2=NC=CN2,C1CCC(CC1)C(=O)C2=NC=CN2
1537833-54-7,C1COCCC1CC(=O)C2=NC=CN2,C1COCCC1CC(=O)C2=NC=CN2
2269482-26-8,CC(=O)C1=C2NNN(C(=O)N2C=N1)C,CC(=O)C1=C2NNN(C(=O)N2C=N1)C
876392-08-4,CC1=NC(=CC=C1)C(=O)CN.Cl.Cl,CC1=NC(=CC=C1)C(=O)CN.Cl.Cl
1256836-57-3,CC(=O)C1=C(C=CC(=N1)Cl)Br,CC(=O)C1=C(C=CC(=N1)Cl)Br
1419580-23-6,CCOC(=O)C1=CN=C(N=C1C(=O)C)SC,CCOC(=O)C1=CN=C(N=C1C(=O)C)SC
924898-11-3,CC1=NC(=CC=C1)C(=O)CC2=C3C=C(C=CC3=NC=C2)C#N,CC1=NC(=CC=C1)C(=O)CC2=C3C=C(C=CC3=NC=C2)C#N
1780892-49-0,CC(=O)C1=NC=C(N1C)Cl,CC(=O)C1=NC=C(N1C)Cl
1416252-49-7,CC(=O)C1=NC=CC2=C1C=CC(=C2)Br,CC(=O)C1=NC=CC2=C1C=CC(=C2)Br
1808092-59-2,CC(=O)C1=NC=C(C=N1)O,CC(=O)C1=NC=C(C=N1)O
1822666-76-1,CC(=O)C1=NC=C(C=N1)Cl,CC(=O)C1=NC=C(C=N1)Cl
1566456-87-8,CCC(=O)C1=NC=C(C=C1)OC,CCC(=O)C1=NC=C(C=C1)OC
2167652-28-8,CC1=CN=C(C(=N1)C(=O)C)Cl,CC1=CN=C(C(=N1)C(=O)C)Cl
2386282-95-5,CC1=CN=C(C(=N1)Cl)C(=O)C,CC1=CN=C(C(=N1)Cl)C(=O)C
473693-04-8,C1=C(N=CS1)C(=O)CN.Cl,C1=C(N=CS1)C(=O)CN.Cl
1256837-12-3,CC1=CC(=C(N=C1)C(=O)C)Br,CC1=CC(=C(N=C1)C(=O)C)Br
2155856-14-5,CCS(=O)(=O)C1=C(N=C(C=C1)Cl)C(=O)C,CCS(=O)(=O)C1=C(N=C(C=C1)Cl)C(=O)C
1803612-23-8,C1=C(N=CC(=N1)Br)C(=O)CBr.Br,C1=C(N=CC(=N1)Br)C(=O)CBr.Br
